airport_ID,airport_abb,airport_name
225,MCW,"Mason City, IA: Mason City Municipal"
226,MDT,"Harrisburg, PA: Harrisburg International"
227,MDW,"Chicago, IL: Chicago Midway International"
228,MEI,"Meridian, MS: Key Field"
229,MEM,"Memphis, TN: Memphis International"
230,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
231,MFR,"Medford, OR: Rogue Valley International - Medford"
232,MGM,"Montgomery, AL: Montgomery Regional"
233,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional"
234,MHT,"Manchester, NH: Manchester-Boston Regional"
235,MIA,"Miami, FL: Miami International"
236,MKE,"Milwaukee, WI: General Mitchell International"
237,MKG,"Muskegon, MI: Muskegon County"
238,MLB,"Melbourne, FL: Melbourne International"
239,MLI,"Moline, IL: Quad City International"
240,MLU,"Monroe, LA: Monroe Regional"
241,MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport"
242,MOB,"Mobile, AL: Mobile Regional"
243,MOT,"Minot, ND: Minot International"
244,MQT,"Marquette, MI: Sawyer International"
245,MRY,"Monterey, CA: Monterey Regional"
246,MSN,"Madison, WI: Dane County Regional-Truax Field"
247,MSO,"Missoula, MT: Missoula International"
248,MSP,"Minneapolis, MN: Minneapolis-St Paul International"
249,MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
250,MTJ,"Montrose/Delta, CO: Montrose Regional"
251,MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport"
252,MYR,"Myrtle Beach, SC: Myrtle Beach International"
253,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
254,OAK,"Oakland, CA: Metropolitan Oakland International"
255,OGD,"Ogden, UT: Ogden-Hinckley"
256,OGG,"Kahului, HI: Kahului Airport"
257,OGS,"Ogdensburg, NY: Ogdensburg International"
258,OKC,"Oklahoma City, OK: Will Rogers World"
259,OMA,"Omaha, NE: Eppley Airfield"
260,OME,"Nome, AK: Nome Airport"
261,ONT,"Ontario, CA: Ontario International"
262,ORD,"Chicago, IL: Chicago O'Hare International"
263,ORF,"Norfolk, VA: Norfolk International"
264,ORH,"Worcester, MA: Worcester Regional"
265,OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
266,OTZ,"Kotzebue, AK: Ralph Wien Memorial"
267,OWB,"Owensboro, KY: Owensboro Daviess County Regional"
268,PAE,"Everett, WA: Snohomish County"
269,PAH,"Paducah, KY: Barkley Regional"
270,PBG,"Plattsburgh, NY: Plattsburgh International"
271,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International"
272,PDX,"Portland, OR: Portland International"
273,PGD,"Punta Gorda, FL: Punta Gorda Airport"
274,PGV,"Greenville, NC: Pitt Greenville"
275,PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
276,PHL,"Philadelphia, PA: Philadelphia International"
277,PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
278,PIA,"Peoria, IL: General Downing - Peoria International"
279,PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
280,PIE,"St. Petersburg, FL: St Pete Clearwater International"
281,PIH,"Pocatello, ID: Pocatello Regional"
282,PIR,"Pierre, SD: Pierre Regional"
283,PIT,"Pittsburgh, PA: Pittsburgh International"
284,PLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
285,PNS,"Pensacola, FL: Pensacola International"
286,PPG,"Pago Pago, TT: Pago Pago International"
287,PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field"
288,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities"
289,PSE,"Ponce, PR: Mercedita"
290,PSG,"Petersburg, AK: Petersburg James A Johnson"
291,PSM,"Portsmouth, NH: Portsmouth International at Pease"
292,PSP,"Palm Springs, CA: Palm Springs International"
293,PUB,"Pueblo, CO: Pueblo Memorial"
294,PUW,"Pullman, WA: Pullman Moscow Regional"
295,PVD,"Providence, RI: Theodore Francis Green State"
296,PVU,"Provo, UT: Provo Municipal"
297,PWM,"Portland, ME: Portland International Jetport"
298,RAP,"Rapid City, SD: Rapid City Regional"
299,RDD,"Redding, CA: Redding Municipal"
300,RDM,"Bend/Redmond, OR: Roberts Field"
301,RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
302,RFD,"Rockford, IL: Chicago/Rockford International"
303,RHI,"Rhinelander, WI: Rhinelander/Oneida County"
304,RIC,"Richmond, VA: Richmond International"
305,RIW,"Riverton/Lander, WY: Riverton Regional"
306,RKS,"Rock Springs, WY: Southwest Wyoming Regional"
307,RNO,"Reno, NV: Reno/Tahoe International"
308,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
309,ROC,"Rochester, NY: Greater Rochester International"
310,ROW,"Roswell, NM: Roswell International Air Center"
311,RST,"Rochester, MN: Rochester International"
312,RSW,"Fort Myers, FL: Southwest Florida International"
313,SAF,"Santa Fe, NM: Santa Fe Municipal"
314,SAN,"San Diego, CA: San Diego International"
315,SAT,"San Antonio, TX: San Antonio International"
316,SAV,"Savannah, GA: Savannah/Hilton Head International"
317,SBA,"Santa Barbara, CA: Santa Barbara Municipal"
318,SBN,"South Bend, IN: South Bend International"
319,SBP,"San Luis Obispo, CA: San Luis County Regional"
320,SCC,"Deadhorse, AK: Deadhorse Airport"
321,SCE,"State College, PA: University Park"
322,SCK,"Stockton, CA: Stockton Metropolitan"
323,SDF,"Louisville, KY: Louisville Muhammad Ali International"
324,SEA,"Seattle, WA: Seattle/Tacoma International"
325,SFB,"Sanford, FL: Orlando Sanford International"
326,SFO,"San Francisco, CA: San Francisco International"
327,SGF,"Springfield, MO: Springfield-Branson National"
328,SGU,"St. George, UT: St George Regional"
329,SHD,"Staunton, VA: Shenandoah Valley Regional"
330,SHR,"Sheridan, WY: Sheridan County"
331,SHV,"Shreveport, LA: Shreveport Regional"
332,SIT,"Sitka, AK: Sitka Rocky Gutierrez"
333,SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
334,SJT,"San Angelo, TX: San Angelo Regional/Mathis Field"
335,SJU,"San Juan, PR: Luis Munoz Marin International"
336,SLC,"Salt Lake City, UT: Salt Lake City International"
337,SLN,"Salina, KS: Salina Regional"
338,SMF,"Sacramento, CA: Sacramento International"
339,SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
